iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,tests_per_case,positive_rate,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index,vdem_polyarchy,female_HoG
AFG,Asia,Afghanistan,2020-10-14,39994,1480,1027.375,38.019,NA,NA,NA,NA,38928341,54.422,18.6,2.581,1803.987,NA,64.83,0.498,0.367,0
AGO,Africa,Angola,2020-10-14,6488,219,197.406,6.663,NA,NA,NA,NA,32866268,23.89,16.8,2.405,5819.495,NA,61.15,0.581,0.37,0
ALB,Europe,Albania,2020-10-14,15752,429,5473.626,149.072,NA,NA,NA,NA,2877800,104.871,38,13.188,11803.431,1.1,78.57,0.785,0.519,0
ARE,Asia,United Arab Emirates,2020-10-14,108608,448,10981.153,45.296,NA,NA,NA,NA,9890400,112.442,34,1.144,67293.483,NA,77.97,0.863,0.115,0
ARG,South America,Argentina,2020-10-14,917022,24572,20289.993,543.679,NA,NA,NA,NA,45195777,16.177,31.9,11.198,18933.907,0.6,76.67,0.825,0.819,0
ARM,Asia,Armenia,2020-10-14,58624,1039,19783.79,350.63,NA,NA,NA,NA,2963234,102.931,35.7,11.232,8787.58,1.8,75.09,0.755,0.493,0
AUS,Oceania,Australia,2020-10-14,27317,899,1071.26,35.255,NA,NA,NA,NA,25499881,3.202,37.9,15.504,44648.71,0.5,83.44,0.939,0.864,0
AUT,Europe,Austria,2020-10-14,57762,879,6413.439,97.597,NA,NA,NA,NA,9006400,106.749,44.4,19.202,45436.686,0.7,81.54,0.908,0.79,0
AZE,Asia,Azerbaijan,2020-10-14,42381,612,4179.926,60.36,NA,NA,NA,NA,10139175,119.309,32.4,6.018,15847.419,NA,73,0.757,0.197,0
BDI,Africa,Burundi,2020-10-14,529,1,44.488,0.084,NA,NA,NA,NA,11890781,423.062,17.5,2.562,702.225,71.7,61.58,0.417,0.179,0
BEN,Africa,Benin,2020-10-14,2411,41,198.875,3.382,NA,NA,NA,NA,12123198,99.11,18.8,3.244,2064.236,49.6,61.77,0.515,0.654,0
BFA,Africa,Burkina Faso,2020-10-14,2305,63,110.27,3.014,NA,NA,NA,NA,20903278,70.151,17.6,2.409,1703.102,43.7,61.58,0.423,0.739,0
BGD,Asia,Bangladesh,2020-10-14,381275,5577,2315.116,33.864,NA,NA,NA,NA,164689383,1265.036,27.5,5.098,3523.984,14.8,72.59,0.608,0.341,1
BGR,Europe,Bulgaria,2020-10-14,25774,923,3709.319,132.835,NA,NA,NA,NA,6948445,65.18,44.7,20.801,18563.307,1.5,75.05,0.813,0.593,0
