"country_name","country_text_id","year","region","disclose_donations_ord","public_sector_corruption","polyarchy","civil_liberties","media_free","multi_party","judic_cor","state_sector","disclose_donations"
"Mexico","MEX",2020,2,3,0.491,0.652,0.702,0.719,1.808,-0.169,0.869,TRUE
"Suriname","SUR",2020,2,1,0.244,0.754,0.867,0.84,1.196,0.42,-0.274,FALSE
"Sweden","SWE",2020,5,3,0.015,0.901,0.965,0.963,1.54,2.607,1.348,TRUE
"Switzerland","CHE",2020,5,0,0.012,0.901,0.953,0.986,1.403,2.536,2.221,FALSE
"Ghana","GHA",2020,4,2,0.666,0.722,0.917,0.9,1.739,-1.432,1.438,FALSE
"South Africa","ZAF",2020,4,2,0.58,0.714,0.83,0.815,1.519,1.299,1.131,FALSE
"Japan","JPN",2020,6,3,0.038,0.835,0.913,0.877,1.588,2.612,2.907,TRUE
"Burma/Myanmar","MMR",2020,6,2,0.377,0.422,0.494,0.67,1.05,-0.429,0.118,FALSE
"Russia","RUS",2020,1,2,0.684,0.258,0.425,0.312,-0.699,-0.308,-0.497,FALSE
"Albania","ALB",2020,1,2,0.637,0.536,0.887,0.746,1.683,0.174,1.51,FALSE
"Egypt","EGY",2020,3,2,0.802,0.176,0.215,0.112,-1.603,-1.021,-1.191,FALSE
"Yemen","YEM",2020,3,0,0.838,0.115,0.132,0.148,NA,-1.975,-0.225,FALSE
"Colombia","COL",2020,2,3,0.383,0.64,0.691,0.705,1.662,0.848,1.408,TRUE
"Poland","POL",2020,1,3,0.157,0.613,0.83,0.71,1.661,2.391,1.047,TRUE
"Brazil","BRA",2020,2,4,0.318,0.696,0.679,0.671,1.757,0.674,1.316,TRUE
"United States of America","USA",2020,5,3,0.081,0.811,0.916,0.919,1.689,1.91,2.905,TRUE
"Portugal","PRT",2020,5,4,0.113,0.886,0.932,0.976,1.56,1.567,1.607,TRUE
"El Salvador","SLV",2020,2,2,0.679,0.522,0.664,0.518,1.722,-0.568,2.275,FALSE
"Bangladesh","BGD",2020,6,0,0.917,0.257,0.401,0.238,-0.539,-1.69,0.384,FALSE
"Bolivia","BOL",2020,2,1,0.326,0.332,0.72,0.611,1.816,-1.401,-0.026,FALSE
"Haiti","HTI",2020,2,1,0.676,0.376,0.659,0.691,0.414,-1.104,1.413,FALSE
"Honduras","HND",2020,2,2,0.853,0.376,0.793,0.727,0.48,-0.923,1.938,FALSE
"Mali","MLI",2020,4,2,0.815,0.372,0.757,0.779,1.1,-1.075,1.51,FALSE
"Pakistan","PAK",2020,6,2,0.818,0.387,0.497,0.488,0.846,-2.187,0.498,FALSE
"Peru","PER",2020,2,2,0.23,0.818,0.874,0.923,1.736,-0.771,2.303,FALSE
"Senegal","SEN",2020,4,0,0.305,0.74,0.877,0.94,1.474,-0.36,0.806,FALSE
"South Sudan","SSD",2020,4,0,0.933,0.173,0.185,0.134,NA,-2.531,-2.139,FALSE
"Sudan","SDN",2020,4,2,0.675,0.165,0.321,0.34,NA,-1.19,-0.89,FALSE
"Vietnam","VNM",2020,6,0,0.477,0.211,0.401,0.216,-2.334,-1.165,-0.53,FALSE
"Afghanistan","AFG",2020,6,2,0.798,0.361,0.554,0.63,-0.214,-1.487,0.477,FALSE
"Argentina","ARG",2020,2,3,0.491,0.812,0.892,0.917,1.816,-0.141,0.814,TRUE
"Ethiopia","ETH",2020,4,2,0.713,0.323,0.54,0.602,-0.92,-1.265,-1.039,FALSE
"India","IND",2020,6,2,0.691,0.394,0.556,0.375,1.631,0.355,1.831,FALSE
"Kenya","KEN",2020,4,3,0.584,0.499,0.684,0.839,1.187,0.417,1.482,TRUE
"North Korea","PRK",2020,6,0,0.863,0.084,0.024,0.014,-2.838,-0.936,-3.238,FALSE
"South Korea","KOR",2020,6,4,0.048,0.856,0.927,0.922,1.57,1.821,1.07,TRUE
"Kosovo","XKX",2020,1,2,0.301,0.661,0.827,0.878,1.261,0.793,0.662,FALSE
"Lebanon","LBN",2020,3,2,0.801,0.438,0.705,0.676,0.954,-0.698,1.358,FALSE
"Nigeria","NGA",2020,4,2,0.912,0.523,0.653,0.872,1.081,-1.307,1.286,FALSE
"Philippines","PHL",2020,6,2,0.533,0.426,0.518,0.46,1.429,-0.987,1.425,FALSE
